,stage,dow,birth,giv,gen,dob,dod,type,orig,pict,notes
6149,Lurene Tuttle,1960,,,F,[1],199x,RU:,\Un,,Ww(Hitchcock)
6150,Shannon Tweed,1983-1992,Tweed,Shannon,F,[1],199x,R:elegant sexy,\Am,.tiff,"Nt(Playboy playmate; Nov1981, May1991)"
6151,Tracy Tweed,,Tweed,Tracy,F,[1],199x,RU:,\Am,Si(Shannon Tweed),|
6152,Helen Twelvetrees,1929-1937,Jurgens,Helen,F,1908,1958,R:lead,\Am,,
6153,Twiggy,1971-1980,Hornby,Lesley,F,1946,199x,R:fashion model,\Br,,
6154,Beverly Tyler,1943-1947,Tyler,Beverly,F,1924,199x,R:lead,\Am,,
6155,Beverly Tyler,1943-1947,Tyler,Beverly,F,1924,199x,R:lead,\Am,,
6156,Liv Tyler,1993,Tyler,Liv,F,,,"R:tall, nice",\Am,,Ch(Steve Tyler)
6157,Charles Tyner,,,,M,[1],199x,RU:,\Un,,|
6158,Susan Tyrrell,1976-1977,Tyrrell,Susan,F,1946,199x,R:lead,\Am,,
6159,Cicely Tyson,1966-1979,Tyson,Cicely,F,1933,199x,"R:black, lead",\Am,,
6160,Margaret Tyzack,1964-1979,Tyzack,Margaret,F,1933,199x,R:character,\Br,,
6161,Meier Tzelniker,1944-1967,Tzelniker,Meier,M,1894,199x,R:character,\Br,,
6162,Leslie Uggams,1972-1979,Uggams,Leslie,F,1943,199x,R:black gamine,\Am,,
6163,Liv Ullmann,1959-1978,Ullmann,Liv,F,1939,199x,R:lead,\No,,
6164,Tracey Ullman,1980-1990,Ullmann,Tracey,F,1959,199x,R:comic,\Br,,Mt(Allen McKeown; P)
6165,Leonore Ulric,1923-1947,Ulrich,Leonore,F,1892,1970,RU:,\Am,,
6166,Miyoshi Umeki,1957-1963,Umeki,Miyoshi,F,1929,199x,R:lead,\Ja,,
6167,Edward Underdown,1933-1972,Underdown,Edward,M,1908,199x,RU:,\Br,,
6168,Mary Ure,1955-1971,Ure,Mary,F,1933,1975,R:lead,\Br,,
6169,Minerva Urecal,1937-1964,Urecal,Minerva,F,1896,1966,R:nasty,\Am,,
6170,Robert Urich,,,,M,[1],199x,RU:,\Un,,|
6171,Robert Urquhart,1951-1974,Urquhart,Robert,M,1922,199x,R:character,\Br(Scot),|,
6172,Peter Ustinov,1940-1982,Ustinov,Peter,M,1921,199x,"R:garrulous, hirsute",\Br,,"Also(D,W)"
6173,Badi Uzza,,,,,[1],199x,RU:,\Un,,|
6174,Brenda Vaccaro,1969-1979,Vaccaro,Brenda,F,1939,199x,R:character,\Am,,
6175,Vera Vague,,,,F,[1],199x,RU:,\Un,[4.697],
6176,Karen Valentine,1969-1978,Valentine,Karen,F,1948,199x,R:light,\Am,,
6177,Rudolph Valentino,1914-1926,d'Antonguolla,Rodolpho,M,1895,1926,R:romantic idol,\Am,[18.217],Mt(Natacha Rambova)
6178,Frederick Valk,1940-1955,Valk,Frederick,M,1901,1956,R:heavyweight,\Cz,,
6179,Rudy Vallee,1929-1976,Vallee,Hubert,M,1901,1986,R:character comedian,\Am,,
6180,Alida Valli,1936-1982,Altenburger,Alida Maria,F,1921,199x,R:starchy beauty,\It,,Ww(Hitchcock)
6181,Romolo Valli,,,,M,[1],1980,RU:,\Un,[4.47],
6182,Virginia Valli,1917-1932,McSweeny,Virginia,F,1898,1968,R:porcelein innocent heroine,\Am,,Mt(Charles Farrell) Ww(Hitchcock) Er(dob)
6183,Raf Vallone,1948-1979,Vallone,Raf,M,1916,199x,R:lead,\It,,
6184,Saverio Vallone,,,,M,[1],199x,RU:,\Un,,|
6185,Bobby Van,1952-1973,Stein,Robert,M,1930,1980,R:song-and-dance man,\Am,,
6186,Irene Vanbrugh,1927-1937,Barnes,Irene,F,1872,1949,R:distinguished,\Br,,
6187,Vivian Vance,1950-1965,Vance,Vivian,F,1911,1979,R:cheerful,\Am,,
6188,Lee VanCleef,1952-1982,Van Cleef,Lee,M,1925,1989,R:sneaky western villain,\Am,,Nt(in spaghetti Westerns)
6189,Jose vanDam,1989,vanDam,Jos\'e,M,[1],199x,R:singer,\Be,,
6190,Trish VanDevere,1970-1980,Van Devere,Trish,F,1943,199x,R:lead,\Am,,
6191,Mamie VanDoren,1954-1966,Olander,Joan Lucille,F,1933,199x,R:blonde bombshell,\Am,,
6192,Barry VanDyke,,,,M,[1],199x,RU:,\Un,,|
6193,Conny VanDyke,,,,F,[1],199x,RU:,\Un,,|
6194,Dick VanDyke,1963-1982,Van Dyke,Dick,M,1925,199x,R:lanky comedian,\Am,[34.177],Ww(Hitchcock)
6195,Charles Vanel,1933-1979,Vanel,Charles,M,1892,1989,R:character,\Fr,Er(dod 79),|
6196,Peter VanEyck,1942-1969,Van Eyck,Peter,M,1911,1969,RU:,\Ge,,
6197,John VanEyssen,1956-1960,Van Eyssen,John,M,1925,199x,RU:,\SA(frican),|,
6198,Jo VanFleet,1955-1976,Van Fleet,Jo,F,1919,199x,R:character,\Am,,
6199,Kevin VanHentenryck,,,,M,[1],199x,RU:,\Un,,|
6200,Jon VanNess,,,,M,[1],199x,RU:,\Un,,|
6201,Rik VanNutter,,,,M,[1],199x,RU:,\Un,,|
6202,Nina VanPallandt,1973-1980,Van Pallandt,Nina,F,1932,199x,R:singer,\Da,,
6203,Dick VanPatten,1972-1977,Van Patten,Dick,M,1928,199x,R:chubby,\Am,,Mt(Joyce vanPatten)
6204,Jimmie VanPatten,,Van Patten,James,M,[1],199x,RU:,\Un,,|
6205,Joyce VanPatten,1958-1975,Van Patten,Joyce,F,1934,199x,R:lead,\Am,,Mt(Dick vanPatten)
6206,Timothy VanPatten,,,,M,[1],199x,RU:,\Un,,|
6207,Vincent VanPatten,,,,M,[1],199x,RU:,\Un,,|
6208,Deborah VanRhyn,,,,F,[1],199x,RU:,\Un,,|
6209,Luis VanRooten,1944-1955,Van Rooten,Luis,M,1906,1973,R:character,\Me,,
6210,Edward VanSloan,1930-1947,Van Sloan,Edward,M,1882,1964,R:elderly professor,\Am,,
6211,Deborah VanValkenburgh,,,,F,[1],199x,RU:,\Un,,|
6212,Monique VanVooren,,,,F,[1],199x,RU:,\Un,,|
6213,Philip VanZandt,1941-1957,Van Zandt,Philip,M,1904,1958,R:character,\Du(tch),|,
6214,Victor Varconi,1926-1949,Varconi,Victor,M,1896,1976,R:lead,\Hu,,
6215,Evelyn Varden,1949-1956,Varden,Evelyn,F,1895,1958,R:character,\Am,,
6216,Norma Varden,1932-1967,Varden,Norma,F,1898,199x,R:haughty aristocrat,\Br,,
6217,Leonor Varela,1998,Varela,Leonor,F,1985,199x,RU:,Chile,Lw(illy Zane),|
6218,Valentina Vargas,,,,F,[1],199x,RU:,\Un,,|
6219,Beatrice Varley,1941-1955,Varley,Beatrice,F,1896,1969,R:worried little elderly lady,\Br,,
6220,Reg Varney,1966-1973,Varney,Reg,M,1922,199x,R:chirpy,\Br,,
6221,Diane Varsi,1957-1977,Varsi,Diane,F,1938,199x,R:slight,\Am,,
6222,Frankie Vaughan,1956-1964,Abelson,Frank,M,1928,199x,R:flamboyant song and dance man,\Br,,
6223,"Peter Vaughan 1959-1974 Ohm Peter M 1923 199x R:solid presence \Br |  Martin Vaughn M [1] 199x RU: \Un |  Robert Vaughn 1958-1983 Vaughn Robert M 1932 199x R: slight, intense \Am |  Conrad Veidt 1919-1943 Veidt Conrad M 1893 1943 R:liquid villain \Ge [4.157] InB(Max Reinhardt)|  Lupe Velez 1927-1943 Velez de Villalobos Guadeloupe F 1908 1944 R:temperamental \Me Ty(Mexican Spitfire)|  Reginald VelJohnson 1987 M 199x R:rotund comic |  Evelyn Venable 1933-1943 Venable Evelyn F 1913 199x R:demure \Am [4.254,696] Ty(Mrs. Wiggs 1934)|  Amy Veness 1931-1954 Veness Amy F 1876 1960 R:cheerful old soul \Br |  Chick Vennera M [1] 199x RU: \Un |  Diane Venora F [1] 199x RU: \Un |  Wanda Ventham 1956-1973 Ventham Wanda F R:lead \Br |  Lino Ventura 1953-1982 Borrini Angelino M 1919 1987 R:lead \It |  VeraEllen 1945-1956 Rohe Vera-Ellen Westmeyr F 1920 1981 R:diminutive dancer \Am |  Gwen Verdon 1951-1983 Verdon Gwen F 1925 199x R:vivacious \Am Mt(Bob Fosse)|  Ellen Verdugo 1940-1975 Verdugo Ellen F 1926 199x R:lead \Am |  Ben Vereen 1975-1980 Vereen Ben M 1946 199x R:black dancer \Am |  Karen Verne 1939-1967 Klinekerfuss Ingabor Katrine F 1915 1967 R:lead \Ge |  Jerry Verno 1932-1957 Verno Jerry M 1895 1975 R:character \Br |  Anne Vernon 1948-1968 Vignaud Edith F 1925 199x R:vivacious \Fr |  John Vernon 1967-1980 Vernon John M 1935 199x R:character \Ca |  Wally Vernon 1937-1964 Vernon Wally M 1904 1970 R:eccentric \Am |  Odile Versois 1946-1968 \BN{de Poliakoff-Baidarov Militza F 1930 1980 R:lead \Fr Si(Marina Vlady)|  Verushka F [1] 199x RU: \Un |  Virginia Vestoff M [1] 199x RU: \Un |  Victoria Vetri 1967-1969 Dorian Angela M 1944 199x R:lead \Au |  Marcel Vibert M [1] 199x RU: \Un |  Martha Vickers 1944-1960 MacVicar M. F 1925 1971 R:lead \Am |  Charles Victor 1946-1957 Victor Charles M 1896 1965 R:character \Br |  Henry Victor 1925-1941 Victor Henry M 1898 1945 R:villainous \Br |  Henri Vidal 1946-1959 Vidal Henri M 1919 1959 R:tough-looking \Fr |  Florence Vidor 1921-1929 Arto Florence F 1895 1977 R:lead, silent \Am |  Asia Viera F [1] 199x RU: \Un |  Abe Vigoda 1941-1964 Vigoda Abe M 1919 199x R:character \Am |  Robert Viharo M [1] 199x RU: \Un |  Tony Vilar M [1] 199x RU: \Un |  Henri Vilbert M [1] 199x RU: \Un |  Frank Villard 1941-1964 Drouineau Francois M 1917 1980 R:lead \Fr |  Herve Villechaize 1973-1982 Villechaize Herve M 1943 1993 R:dwarf \Fr Ph(tiny)|  James Villiers 1960-1982 Villiers James M 1933 199x R:snooty or villainous \Br |  Jan-Michael Vincent 1970-1983 Vincent Jan-Michael M 1944 199x R:lead \Am |  June Vincent 1944-1948 Vincent June F 1919 199x R:blonde lead \Am |  Helen Vinson 1931-1946 Rulfs Helen M 1907 199x R:cool, aristocratic \Am |  Jesse Vint M [1] 199x RU: \Un |  Enzo Vitale M [1] 199x RU: \Un |  Mario Vitale M [1] 199x RU: \Un |  Milly Vitale 1959-1979 Vitale Milly F 1928 199x R:lead \It |  Monica Vitti 1959-1979 Ceciarelli Monica Luisa F 1933 199x R:lead \It |  Viva F [1] 199x RU: \Un |  Ruth Vivian F [1] 199x RU: \Un |  Marina Vlady 1949-1980 \BN{de Poliakoff-Baidarov Marina M 1938 199x R:lead \Fr |  Karl Michael Vogler 1965-1969 Vogler Karl M 1928 199x RU: \Ge |  Jon Voight 1967-1983 Voight Jon M 1938 199x R:lead \Am [4.130,230] |  Gian Maria Volonte 1964-1996 Volont\'e Gian M 1930 1997 R:lead \It |  Ferdinand vonAlten M [1] 199x RU: \Un |  Thomas vonBr\""omssen M [1] 199x RU: \Un |  Lenny VonDohlen M [1] 199x RU: \Un |  Gustav vonSeyffertitz 1918-1939 Von Seyffertitz Gustav M 1863 1943 R:dignified \Ge |  Erich VonStroheim 1918-1956 Von Nordenwall \FN{Hans Erich Maria Stroheim M 1885 1957 R:despotic villain or stiff-necked Prussian \Os Also(D)|  Max vonSydow 1951-1981 Von Sydow Carl Adolf M 1929 199x R:aristocratic villain \Sw(edish)|  Gustav vonWangenheim 1920 von Wangenheim Gustav M 199x R:hunk \Ge |  George Voskovec 1952-1980 Voskovec George M 1905 1981 RU: \Cz |  Frank Vosper 1926-1935 Vosper Frank M 1899 1937 RU: \Br |  Andreas Voutsina M [1] 199x RU: \Un |  Milena Vukotic F [1] 199x RU: \Un |  Murvyn Vye 1948-1964 Vye Murvyn M 1913 1976 R:burly \Am |",,,,,,,,,,
6224,Henry Wadsworth,1929-1938,Wadsworth,Henry,M,1902,1974,R:juvenile,\Am,,
6225,John Wade,,,,M,[1][1],199x,RU:,\Un,,|
6226,Russel Wade,,,,M,[1][1],199x,RU:,\Un,,|
6227,Anthony Wager,1946-1946,Wager,Anthony,M,1933,199x,R:juvenile,\Br,,
6228,Christie Wagner,,,,F,[1],199x,RU:,\Un,,|
6229,Lindsay Wagner,1973-1983,Wagner,Lindsay,F,1949,199x,R:bionic,\Am,,
6230,Robert Wagner,1950-1983,Wagner,Robert,M,1930,199x,R:hearty,\Am,,"Mt(Marion Marshall, Natalie Wood, Jill StJohn)"
6231,Ken Wahl,1982-1984,Wahl,Ken,M,1956,199x,R:hunk,,"Mt(Corinne Alphen,)",|
6232,James Wainwright,1971-1978,Wainwright,James,M,,199x,R:general purpose,\Am,,
6233,Ralph Waite,1967-1981,Waite,Ralph,M,1928,199x,R:reliable looking,\Am,,
6234,Akiko Wakabayashi,,,,F,[1],199x,RU:,\Un,,|
6235,Eijo Wakabayashi,,,,M,[1],199x,RU:,\Un,,|
6236,Duggie Wakefield,1935-1939,Wakefield,Duggie,M,1899,1951,R:simpleton,\Br,,
6237,Hugh Wakefield,1930-1954,Wakefield,Hugh,M,1888,1971,R:monocled,\Br,,
6238,Anton Walbrook,1922-1957,"Wohlbr\""uck",Adolf Anton,M,1900,1967,"R:prince, distinguished",\Os,,
6239,Raymond Walburn,1934-1955,Walburn,Raymond,M,1887,1969,R:bumbling pomposity,\Am,,
6240,Christopher Walken,1971-1983,Walken,Christopher,M,1943,199x,R:young,\Am,,
6241,Clint Walker,1954-1977,Walker,Norman,M,1927,199x,R:square-jawed giant cowboy,\Am,"Ph(H=6'5.5"")",|
6242,Helen Walker,1942-1955,Walker,Helen,F,1921,1968,R:lead,\Am,,
6243,Kathryn Walker,,,,F,[1],199x,RU:,\Un,,|
6244,Maggie Walker,,,,F,[1],199x,RU:,\Un,,|
6245,Nancy Walker,1943-1977,Barto,Ann Swoyer,F,1921,1992,R:pint-size waitress,\Am,,Mainly(TV)
6246,Nella Walker,1929-1954,Walker,Nella,F,1886,1971,R:placid mother or socialite,\Am,,
6247,Robert Walker,1951,Walker,Robert,M,1914,1951,"R:slight, modest",\Am,[4.942],Ww(Hitchcock)
6248,Robert Walker~jr.,1963-1983,Waker,Robert~jr.,M,1941,199x,R:second lead,\Am,,
6249,Syd Walker,1937-1939,Walker,Syd,M,1887,1945,"R:comic, monologuist",\Br,,
6250,Tippy Walker,,,,F,[1],199x,RU:,\Un,,|
6251,Zena Walker,1961-1983,Walker,Zena,F,1934,199x,R:lead,\Br,,
6252,Max Wall,1980-1988,Wall,Max,M,[1],1990,RU:,\Un,,|
6253,Bill Wallace,,,,M,[1],199x,RU:,\Un,,|
6254,Dee Wallace,1982-1983,Wallace Stone,Dee,F,,199x,R:lead,\Am,,
6255,Jean Wallace,1944-1971,Wallasek,Jean,F,1923,199x,R:lead,\Am,,Mt(CornelWilde)
6256,Eli Wallach,1956-1982,Wallach,Eli,M,1915,199x,R:villain,\Am,,
6257,Bill Wallis,,,,M,[1],199x,RU:,\Un,,|
6258,Shani Wallis,1967-1973,Wallis,Shani,M,1938,199x,R:cabaret singer,\Br,,
6259,Tom Walls,1930-1949,Walls,Tom,M,1883,1949,R:amiable philanderer,\Br,,
6260,Hugh Walpole,1934-1934,Walpole,Sir Hugh,M,1884,1941,R:vicar,\Br,,
6261,Dermot Walsh,1952-1963,Walsh,Dermot,M,1924,199x,R:lead,\Br,,
6262,J.T. Walsh,1983-1997,Walsh,J.T,M,1944,1998,R:,\Am,,
6263,Kay Walsh,1934-1971,Walsh,Kay,F,1914,199x,R:lead character,\Br,,
6264,Ray Walston,1957-1982,Walston,Ray,M,1917,199x,R:comedian,\Am,,
6265,Jessica Walter,1964-1979,Walter,Jessica,F,1944,199x,R:lead,\Am,,
6266,Julie Walter,,,,F,[1],199x,RU:,\Un,,|
6267,Tracey Walter,,,,F,[1],199x,RU:,\Un,,|
6268,Julie Walters,,,,F,[1],199x,RU:,\Un,,|
6269,Thorley Walters,1945-1983,Walters,Thorley,M,1913,1991,"R:cameo, incompetent officer",\Br,,
6270,Henry B. Walthall,1909-1936,Walthall,Henry,M,1878,1936,R:silent lead,\Am,,
6271,Sam Wanamaker,1948-1984,Wanamaker,Sam,M,1919,1993,RU:,\Am,,Also(D)
6272,Jimmy WangYu,1974-1975,Wang Yu,Jimmy,M,,,R:lead,\Ch,,
6273,Fannie Ward,1915-1919,Ward,Fannie,F,1865,1952,R:beauty,\Am,,
6274,Fred Ward,,,,M,[1],199x,RU:,\Un,,|
6275,Michael Ward,1947-1966,Ward,Michael,M,1915,199x,R:nervous photographer,\Br,,
6276,Polly Ward,1928-1942,Poluski,Pyno,F,1908,199x,R:lead,\Br,,
6277,Rachel Ward,1981-1983,Ward,Rachel,F,1957,199x,R:lady,\Br,,
6278,Simon Ward,1967-1979,Ward,Simon,M,1920,199x,R:lead,\Br,,
6279,Jack Warden,1953-1984,Warden,Jack,M,1920,199x,R:burly,\Am,,
6280,Herta Ware,,,,F,[1],199x,RU:,\Un,,|
6281,Andy Warhol,1963-1976,Warhol,Andy,M,1926,199x,R:weird,\Am,,"Also(D,P)"
6282,S.J. Warmington,,,,M,[1],199x,RU:,\Un,,|
6283,David Warner,1963-1983,Warner,David,M,,199x,R:lanky,\Br,,
6284,H.B. Warner,1915-1956,Warner-Lickford,Henry Byron,M,1876,1958,R:distinguished,\Br,[4.564],
6285,Jack Warner,,,,M,"[1,6]",1981,RU:,\Un,,Nt(not the producer)
6286,Marcia Warner,,,,F,[1],199x,RU:,\Un,,|
6287,C. Denier Warren,1933-1960,Warren,C. Denier,M,1889,1971,R:character,\Br,,
6288,Fran Warren,,,,F,[1],199x,RU:,\Un,,|
6289,Jennifer Warren,1975-1978,Warren,Jennifer,F,1941,199x,R:general purpose,\Am,,
6290,Lesley Ann Warren,1967-1983,Warren,Lesley Ann,F,1946,199x,R:lead,\Am,,
6291,Michael Warren,,,,M,[1],199x,RU:,\Un,,|
6292,Harold Warrender,1933-1953,Warrender,Harold,M,1903,1953,RU:,\Br,,
6293,Ruth Warrick,1941-1983,Warrick,Ruth,F,1915,199x,"R:lead, singer",\Am,,
6294,David Warrilow,,,,M,[1],199x,RU:,\Un,,|
6295,Dionne Warwick,,,,F,[1],199x,RU:,\Un,,|
6296,John Warwich,1935-1959,Beattie,John McIntosh,M,1905,1972,R:lead,\Au,,
6297,Richard Warwick,,,,M,[1],199x,RU:,\Un,,|
6298,Robert Warwick,1914-1959,Bien,Robert Taylor,M,1878,1972,R:stern benevolent,\Am,,
6299,Mona Washbourne,1948-1973,Washbourne,Mona,F,1903,1988,R:character,\Br,,
6300,Beverly Washburn,,,,F,[1],199x,RU:,\Un,,|
6301,Bryant Washburn,1915-1936,Washburn,Bryant,M,1988,1963,"R:romantic hero, silent",\Am,,
6302,Denzel Washington,,,,,[1],199x,RU:,\Un,,|
6303,Mavis Washington,,,,,[1],199x,RU:,\Un,,|
6304,Ted Wass,,,,M,[1],199x,RU:,\Un,,|
6305,Craig Wasson,1977-1981,Wasson,Craig,M,1954,199x,R:general purpose,\Am,,
6306,Gedde Watanabe,,,,,[1],199x,RU:,\Un,,|
6307,Dennis Waterman,1961-1979,Waterman,Dennis,M,1948,199x,R:juvenile,\Br,,
6308,William Waterman,,,,M,[1],199x,RU:,\Un,[4.10],
6309,Ethel Waters,1929-1959,Waters,Ethel,F,1896,1977,"R:distinguished, black singer",\Am,,
6310,John Waters,,,,M,[1],199x,RU:,\Un,,|
6311,Russell Waters,1947-1959,Waters,Russell,M,1908,199x,"R:meek, mild",\Br,,
6312,Sam Waterston,1969-1981,Waterston,Sam,M,1940,199x,R:general purpose,\Am,,
6313,Pierre Watkin,1935-1954,Watkin,Pierre,M,1894,1960,"R:lawyaer, doctor, kindly father",\Am,,
6314,Charlene Watkins,,,,F,[1],199x,RU:,\Un,,|
6315,Jack Watling,1938-1974,Watling,Jack,M,1923,199x,R:boyish,\Br,,Ww(Hitchcock)
6316,Bobby Watson,,,,M,,199x,RU:,\Un,,Cit(1)
6317,Bobs Watson,1938-1960,Watson,Bobs,M,1931,199x,R:weepy,\Am,,
6318,Douglass Watson,,,,M,[1],199x,RU:,\Un,,|
6319,Emily Watson,1996-1997,Watson,Emily,F,1967,199x,R:distant beauty,\GB,,|
6320,Jack Watson,1961-1980,Watson,Jack,M,1921,199x,R:tough-looking,\Br,,
6321,Lucile Watson,1934-1951,Watson,Lucile,M,1879,1962,R:imperious,\Ca,,
6322,Minor Watson,1933-1956,Watson,Minor,M,1889,1965,"R:lawyers, kindly fathers",\Am,,
6323,Robert Watson,1933-1957,Watson,Robert,M,1888,1965,R:character,\Am,,
6324,Timothy Watson,,,,M,[1],199x,RU:,\Un,,Cit(1)
6325,Wylie Watson,1932-1961,Robertson,John Wylie,M,1889,1966,R:little man,\Br,,Ww(Hitchcock)
6326,Richard Wattis,1949-1973,Wattis,Richard,M,1912,1975,R:bespectacled,\Br,,
6327,Kristina Wayborn,,,,F,[1],199x,RU:,\Un,,Cit(2)
6328,David Wayne,1948-1980,McMeekan,Wayne,M,1914,199x,"R:wiry, versatile performer",\Am,[34.104],Ww(Hitchcock)
6329,Ethan Wayne,,Wayne,Ethan,M,[1],199x,RU:,\Un,,Ch(John Wayne)
6330,John Wayne,1927-1976,Morrison,Marion Michael (Duke),M,1907,199x,R:cowboy,\Am,,Also(D) St(Republic) Ww(John Ford) Aw(AFI#13)
6331,Johnny Wayne,,,,M,[1],1990,RU:,\Un,,Cit(0)
6332,Keith Wayne,,,,M,[1],199x,R:teenager,\Un,,Cit(1)
6333,Michael Wayne,,Wayne,Michael,M,[1],199x,RU:,\Un,,"Ch(John Wayne) Nt(Briefly A, then P)"
6334,Naunton Wayne,1931-1964,Davies,Naunton,M,1901,1970,R:mild-mannered,\Br,[4.580],Ww(Hitchcock)
6335,Nina Wayne,,,,F,[1],199x,RU:,\Un,,Cit(0)
6336,Patrick Wayne,1945-1977,Wayne,Patrick,M,1939,199x,R:lead,\Am,,Ch(John Wayne)
6337,Carl Weathers,,,,M,[1][23],199x,RU:,\Un,,|
6338,Dennis Weaver,1952-1983,Weaver,Dennis,M,1924,199x,R:character,\Am,,
6339,Doodles Weaver,1937-1967,Weaver,Winstead Sheffield,M,1911,1983,R:character comedian,\Am,,
6340,Fritz Weaver,1964-1978,Weaver,Fritz,M,1926,199x,R:stage,\Am,,
6341,Marjorie Weaver,1936-1952,Weaver,Marjorie,F,1913,199x,R:lead,\Am,,
6342,Sigourney Weaver,1979-1983,Weaver,Sigourney,F,1949,199x,R:lead,\Am,[4.1163],Mt(James Simpson: D)
6343,Alan Webb,1966-1971,Webb,Alan,M,1906,1982,R:lean,\Br,,
6344,Clifton Webb,1920-1962,Hollenbeck,Webb Parmelee,M,1893,1966,"R:waspish, dancer",\Am,[18.185],
6345,Jack Webb,1950-1962,Webb,Jack,M,1920,1982,R:action,\Am,,"Also(P,D)"
6346,Richard Webb,1947-1949,Webb,Richard,M,,1993,R:action,\Am,,
6347,Robert Webber,1951-1982,Webber,Robert,M,1928,199x,R:lead,\Am,,
6348,Ben Webster,1913-1935,Webster,Ben,M,1864,1947,R:old school,\Br,,Mt(Mae Witty)
6349,Ann Wedgeworth,,,,F,[1],199x,RU:,\Un,,|
6350,Paul Wegener,1913-1948,Wegener,Paul,M,1874,1948,R:distinguished,\Ge,,"Also(W,D)"
6351,Virginia Weidler,1931-1943,Weidler,Virginia,F,1927,1968,R:little horror,\Am,,
6352,Leslie Weiner,,,,,[1],199x,RU:,\Un,,|
6353,Johnny Weissmuller,1929-1976,Weissmuller,Peter John,M,1904,1984,R:athletic cliber,\Am,,
6354,Bruce Weitz,,,,M,[1],199x,RU:,\Un,,|
6355,Joseph L. Welch,1959-1959,Welch,Joseph L.,M,1891,1960,R:judge,\Am,,"Er(MI=N., C.)"
6356,Mrs. Joseph L. Welch,1959-1959,Welch,fn,F,,,R:juror,\Am,,Mt(Joseph L. Welch)
6357,Raquel Welch,1964-1977,Tejada,Raquel,F,1940,199x,"R:dynamic, curvaceous",\Am,,
6358,Tahnee Welch,,,,F,[1],199x,RU:,\Un,,|
6359,Tuesday Weld,1956-1982,Weld,Susan Ker,F,1943,199x,"R:cute blonde, lead",\Am,,
6360,Ben Welden,1932-1951,Welden,Ben,M,1901,199x,R:character,\Br,,
6361,Mary Louise Weller,,,,F,[1],199x,RU:,\Un,,|
6362,Gwen Welles,,,,F,[1],199x,RU:,\Un,,|
6363,Jacqueline Wells,1933-1957,Brown,Jacqueline,F,1914,199x,R:lead,\Am,,Nt(also Julie Bishop)
6364,Mel Welles,,,,,[1],199x,RU:,\Un,,|
6365,Orson Welles,1941-1982,Welles,Orson,M,1915,1985,R:ebullient,\Am,[4.534][9.209],"Also(W,P,D) Mt(Rita Hayworth) Aw(AFI#16)"
6366,Billy Wells,,,,,[1],199x,RU:,\Un,,|
6367,Dawn Wells,,,,F,[1],199x,RU:,\Un,,|
6368,Jennifer Wells,,,,F,[1],199x,RU:,\Un,,|
6369,John Wengraf,1922-1963,Wenngraft,Johann,M,1897,1974,"R:lean, mean",\Os,,
6370,Klaus Wenneman,,,,M,[1],199x,RU:,\Un,,|
6371,Fritz Wepper,,,,M,,199x,R:[1],,,|
6372,Oskar Werner,1949-1976,Schliessmayer,Josef,M,1922,1984,R:lead,\Os,[4.534],
6373,Dick Wessel,1938-1965,Wessel,Dick,M,1910,1965,R:comedy,\Am,,
6374,Paula Wessely,1934-1959,Wessely,Paula,F,1908,199x,R:lead,\Os,,
6375,Dick Wesson,1949-1978,Wesson,Dick,M,1922,1979,R:character,\Am,,
6376,Adam West,1959-1978,Anderson,William,M,1929,199x,R:light lead,\Am,,
6377,Dianne West,,,,F,[1],199x,RU:,\Un,,|
6378,Mae West,1932-1977,West,Mae,F,1892,1980,R:sex symbol,,,Also(W) Aw(AFI#15)
6379,Timothy West,1968-1982,West,Timothy,M,1934,199x,R:character,\Br,,
6380,John Westbrook,1965,Westbrook,John,N,19aa,1989,R:sr,\Ct,,
6381,Gordon Westcott,1932-1935,Westcott,Gordon,M,1903,1935,R:`the other man',\Am,,
6382,Helen Westcott,1935-1971,Hickman,Myrthas Helen,F,1929,199x,R:lead,\Am,,
6383,James Westerfield,1946-1969,Westerfield,James,M,1912,1971,R:heavyweight,\Am,,
6384,Helen Westley,1934-1942,Conroy,Henrietta,F,1879,1942,"R:crotcherty, kindhearted dowagers",\Am,,
6385,Nydia Westman,1933-1966,Westman,Nydia,F,1902,1970,R:fluttery,\Am,,
6386,James Westmoreland,,,,M,[1],199x,RU:,\Un,,|
6387,David Weston,1963-1979,Weston,David,M,1938,199x,RU:,\Br,,
6388,Jack Weston,1958-1983,Weston,Jack,M,1926,199x,R:roly-poly,\Am,,
6389,Margaret Weycherle,,,,F,[1],199x,RU:,\Un,,|
6390,Michael Whalen,1936-1956,Shovlin,Joseph Kenneth,M,1899,1974,R:lead,\Am,,
6391,Joanne Whalley,198x-1989,Whalley-Kilmer,Joanne,F,1960,199x,R:sexy,\Br,,Mt(Val Kilmer) Er(dob 1964)
6392,Arleen Whelan,1938-1957,Whelan,Arleen,F,1916,199x,R:lead,\Am,,
6393,Alan Wheatley,1960-1964,Wheatley,Alan,M,1907,199x,R:suave,\Br,,
6394,Russ Wheeler,,,,M,[1],199x,RU:,\Un,,|
6395,Manning Whiley,1938-1952,Whiley,Manning,M,1915,199x,R:sinister,\Br,,
6396,Leigh Whipper,1939-1943,Whipper,Leigh,M,1877,1975,R:black,\Am,,
6397,Alice White,1923-1948,White,Alice,F,1907,1983,"R:flapper, gansters' moll",\Am,,
6398,Carol White,1960-1977,White,Carol,F,1941,199x,R:lead,\Br,,
